districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1599,3492,45.79037800687285,6551,19310,33.92542723977214,627.071037261939,1873.8301855182842,33.4646672952649
Ciutat_Vella,300,517,58.027079303675045,614,1447,42.4326192121631,53.3337715714558,109.24794119097878,48.8190175393986
Eixample,138,140,98.57142857142858,1689,2159,78.23066234367762,168.2130206470594,207.55438362316366,81.04527483865022
Sants_Montjuic,159,490,32.44897959183673,490,2907,16.855865153078774,46.58517936368757,284.6973812855034,16.363051585982273
Les_Corts,111,231,48.05194805194805,428,1227,34.88182559087205,41.38085871411552,117.14190588320041,35.32541015285807
Sarria_Sant_Gervasi,236,548,43.06569343065693,847,2654,31.914091936699325,76.32761075833349,286.6812608650586,26.624555273691584
Gracia,326,337,96.73590504451039,1178,1288,91.45962732919256,99.5409448973865,108.13260029331913,92.05451882907929
Horta_Guinardo,165,444,37.16216216216216,526,2233,23.55575459023735,52.52570477720725,228.96481789601998,22.94051342030233
Nou_Barris,76,336,22.61904761904762,234,1603,14.597629444791016,27.396111899827975,162.43614420741625,16.865773337272536
Sant_Andreu,113,308,36.688311688311686,355,1543,23.00712896953986,35.69354313184791,142.16588776340268,25.106967426145378
Sant_Marti,185,342,54.09356725146199,755,2505,30.13972055888224,80.23522671207596,242.12624872171415,33.13776475523464
