districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1799,3492,51.51775486827033,7448,19310,38.570688762299326,716.5133292240504,1873.8301855182842,38.23790089206346
Ciutat_Vella,360,517,69.63249516441006,782,1447,54.04284727021423,64.6387033081236,109.24794119097878,59.16697614935116
Eixample,139,140,99.28571428571429,1740,2159,80.59286706808709,172.7544830926122,207.55438362316366,83.23335796475672
Sants_Montjuic,226,490,46.12244897959184,766,2907,26.35018919848641,79.95126153050361,284.6973812855034,28.082893200315738
Les_Corts,129,231,55.84415584415584,511,1227,41.646291768541154,48.874384543672875,117.14190588320041,41.72237439299002
Sarria_Sant_Gervasi,265,548,48.35766423357664,943,2654,35.53127354935946,84.6535788349435,286.6812608650586,29.528814886435878
Gracia,327,337,97.03264094955489,1181,1288,91.69254658385093,99.72245769370375,108.13260029331913,92.22238013623816
Horta_Guinardo,165,444,37.16216216216216,530,2233,23.73488580385132,52.90267942046583,228.96481789601998,23.105156463160455
Nou_Barris,76,336,22.61904761904762,234,1603,14.597629444791016,27.396111899827975,162.43614420741625,16.865773337272536
Sant_Andreu,113,308,36.688311688311686,355,1543,23.00712896953986,35.69354313184791,142.16588776340268,25.106967426145378
Sant_Marti,212,342,61.98830409356725,978,2505,39.04191616766467,104.42573444951687,242.12624872171415,43.12863020875434
