districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1033,3492,29.581901489117985,4043,19310,20.937338166752976,385.28725242814255,1873.8301855182842,20.5614817930567
Ciutat_Vella,148,517,28.62669245647969,301,1447,20.801658604008296,27.559555842262114,109.24794119097878,25.22661346458203
Eixample,101,140,72.14285714285714,992,2159,45.947197776748496,98.57889442669729,207.55438362316366,47.4954528571545
Sants_Montjuic,97,490,19.79591836734694,287,2907,9.872721018231854,25.868391661961613,284.6973812855034,9.086276644048223
Les_Corts,23,231,9.956709956709958,85,1227,6.927465362673186,9.65108326293436,117.14190588320041,8.238796517923518
Sarria_Sant_Gervasi,122,548,22.26277372262774,354,2654,13.33835719668425,33.7302953786697,286.6812608650586,11.765783112885991
Gracia,251,337,74.4807121661721,887,1288,68.86645962732919,73.79413842314415,108.13260029331913,68.2441171515076
Horta_Guinardo,235,444,52.92792792792793,805,2233,36.05015673981191,79.67750299545096,228.96481789601998,34.79901572984676
Nou_Barris,60,336,17.857142857142858,211,1603,13.162819713038054,18.332641853906686,162.43614420741625,11.286060712262143
Sant_Andreu,85,308,27.5974025974026,286,1543,18.535320803629293,27.026996787496937,142.16588776340268,19.01088736031824
Sant_Marti,96,342,28.07017543859649,412,2505,16.44710578842315,44.547324432789146,242.12624872171415,18.398387067892525
