districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,458,3695,12.395128552097429,1750,28583,6.122520379246406,158.44551038995593,1979.0021367957695,8.006333466951041
Ciutat_Vella,63,566,11.130742049469964,172,2374,7.245155855096883,15.407274494690256,121.06695157036005,12.726243037296653
Eixample,64,156,41.02564102564102,468,4010,11.670822942643392,40.10790125475312,224.64177560734953,17.854159648763446
Sants_Montjuic,47,512,9.1796875,199,4154,4.790563312469908,16.66173744301785,300.1012632172371,5.552038423429348
Les_Corts,23,241,9.54356846473029,101,1814,5.567805953693495,9.515444132470764,124.02458958115528,7.672223842550471
Sarria_Sant_Gervasi,73,578,12.629757785467127,233,3548,6.567080045095828,19.603430208362543,297.3283400630804,6.593192631487307
Gracia,122,357,34.173669467787114,369,1671,22.082585278276483,27.767880197191083,112.35069972633644,24.71536026462498
Horta_Guinardo,103,476,21.638655462184875,366,3010,12.159468438538205,31.343669611173997,238.89499886961826,13.120270311008241
Nou_Barris,38,356,10.674157303370785,130,2164,6.007393715341959,10.740888128534975,169.63296802504587,6.331840003500446
Sant_Andreu,38,325,11.692307692307692,141,2232,6.317204301075269,13.321969804597849,150.1099557177492,8.874807630779044
Sant_Marti,49,355,13.802816901408452,241,3932,6.129196337741607,23.445041466583106,257.00163872662773,9.122526059657371
