districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,955,3573,26.72823957458718,3593,19310,18.606939409632314,335.0386011861057,1873.8301855182842,17.879880673041733
Ciutat_Vella,243,549,44.26229508196721,479,1447,33.10297166551486,37.584455902108054,109.24794119097878,34.40289628562046
Eixample,106,149,71.14093959731544,924,2159,42.797591477535896,89.67689331802488,207.55438362316366,43.206455943056596
Sants_Montjuic,59,498,11.847389558232932,238,2907,8.187134502923977,20.67314196191095,284.6973812855034,7.261444368952337
Les_Corts,24,234,10.256410256410255,89,1227,7.253463732681337,9.640490236261563,117.14190588320041,8.229753616843047
Sarria_Sant_Gervasi,90,558,16.129032258064516,255,2654,9.608138658628485,23.453327987617207,286.6812608650586,8.180976990559815
Gracia,227,347,65.4178674351585,801,1288,62.18944099378882,64.13103572757448,108.13260029331913,59.30777171141122
Horta_Guinardo,194,460,42.173913043478265,668,2233,29.91491267353336,62.45132768960519,228.96481789601998,27.275512571528033
Nou_Barris,62,340,18.235294117647058,220,1603,13.72426699937617,18.370950200964682,162.43614420741625,11.309644347077484
Sant_Andreu,47,317,14.826498422712934,180,1543,11.665586519766688,18.26497670664743,142.16588776340268,12.84765072268576
Sant_Marti,90,346,26.011560693641616,402,2505,16.047904191616766,43.79086722577417,242.12624872171415,18.085964432590227
