districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,252,3492,7.216494845360824,715,19310,3.702744691869498,63.71227879773915,1873.8301855182842,3.400109534478276
Ciutat_Vella,10,517,1.9342359767891684,16,1447,1.10573600552868,1.5706835175050322,109.24794119097878,1.4377236773362028
Eixample,28,140,20.0,161,2159,7.45715609078277,16.33062500860447,207.55438362316366,7.8681185738068535
Sants_Montjuic,35,490,7.142857142857142,114,2907,3.9215686274509802,10.925150418807931,284.6973812855034,3.8374608046892607
Les_Corts,9,231,3.896103896103896,28,1227,2.28198859005705,2.7392948689861667,117.14190588320041,2.3384414384698986
Sarria_Sant_Gervasi,43,548,7.846715328467154,121,2654,4.559155990957046,10.357717768460464,286.6812608650586,3.6129734246340783
Gracia,110,337,32.640949554896146,272,1288,21.11801242236025,21.498658558698814,108.13260029331913,19.881754901280303
Horta_Guinardo,81,444,18.243243243243242,206,2233,9.22525750111957,20.09696027205396,228.96481789601998,8.777313674968445
Nou_Barris,8,336,2.380952380952381,21,1603,1.3100436681222707,1.672598934924733,162.43614420741625,1.029696280397407
Sant_Andreu,11,308,3.571428571428571,41,1543,2.657161373946857,3.0579068951544452,142.16588776340268,2.150942777667958
Sant_Marti,5,342,1.461988304093567,20,2505,0.7984031936127743,1.6662231168566912,242.12624872171415,0.688162942123533
