districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1187,3573,33.22138259165967,4514,19310,23.376488865872606,416.22641191886225,1873.8301855182842,22.212600433893527
Ciutat_Vella,251,549,45.71948998178507,517,1447,35.729094678645474,40.4975449934206,109.24794119097878,37.069389639687515
Eixample,111,149,74.49664429530202,1045,2159,48.402037980546545,99.6049443405079,207.55438362316366,47.98980517865184
Sants_Montjuic,62,498,12.449799196787147,246,2907,8.46233230134159,21.00637261730689,284.6973812855034,7.378491689124828
Les_Corts,57,234,24.358974358974358,177,1227,14.425427872860636,16.848408258104243,117.14190588320041,14.38290433391396
Sarria_Sant_Gervasi,127,558,22.759856630824373,370,2654,13.941220798794273,35.41761020973316,286.6812608650586,12.35435134576316
Gracia,256,347,73.77521613832853,915,1288,71.04037267080744,72.8273095765635,108.13260029331913,67.35000303240008
Horta_Guinardo,241,460,52.391304347826086,843,2233,37.75190326914465,79.87899103439464,228.96481789601998,34.88701529274692
Nou_Barris,64,340,18.823529411764707,242,1603,15.096693699313787,20.341022298856522,162.43614420741625,12.52247299891758
Sant_Andreu,91,317,28.706624605678233,337,1543,21.840570317563188,29.483769033093903,142.16588776340268,20.73898984977451
Sant_Marti,126,346,36.41618497109826,555,2505,22.15568862275449,55.81366260298904,242.12624872171415,23.051471245952364
