districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1039,3492,29.75372279495991,4081,19310,21.134127395132055,388.85830496016246,1873.8301855182842,20.752056828063523
Ciutat_Vella,148,517,28.62669245647969,301,1447,20.801658604008296,27.559555842262114,109.24794119097878,25.22661346458203
Eixample,102,140,72.85714285714285,1016,2159,47.05882352941176,101.1131281553026,207.55438362316366,48.71645030580703
Sants_Montjuic,97,490,19.79591836734694,287,2907,9.872721018231854,25.868391661961613,284.6973812855034,9.086276644048223
Les_Corts,23,231,9.956709956709958,85,1227,6.927465362673186,9.65108326293436,117.14190588320041,8.238796517923518
Sarria_Sant_Gervasi,122,548,22.26277372262774,354,2654,13.33835719668425,33.7302953786697,286.6812608650586,11.765783112885991
Gracia,254,337,75.37091988130564,894,1288,69.40993788819875,74.23337697221157,108.13260029331913,68.65032078286016
Horta_Guinardo,237,444,53.37837837837838,812,2233,36.36363636363637,80.15724596325359,228.96481789601998,35.008542665998355
Nou_Barris,60,336,17.857142857142858,211,1603,13.162819713038054,18.332641853906686,162.43614420741625,11.286060712262143
Sant_Andreu,85,308,27.5974025974026,286,1543,18.535320803629293,27.026996787496937,142.16588776340268,19.01088736031824
Sant_Marti,96,342,28.07017543859649,412,2505,16.44710578842315,44.547324432789146,242.12624872171415,18.398387067892525
