districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,497,3492,14.232531500572737,1737,19310,8.995339202485757,174.84407190765387,1873.8301855182842,9.330838688527884
Ciutat_Vella,68,517,13.152804642166343,143,1447,9.882515549412577,16.018128089149222,109.24794119097878,14.662178448880397
Eixample,59,140,42.142857142857146,411,2159,19.0365910143585,41.9822846380316,207.55438362316366,20.227125009440783
Sants_Montjuic,48,490,9.795918367346939,166,2907,5.7103543171654625,16.70561176387439,284.6973812855034,5.867848762234129
Les_Corts,22,231,9.523809523809524,84,1227,6.845965770171149,9.56174397499923,117.14190588320041,8.162530652807572
Sarria_Sant_Gervasi,72,548,13.138686131386862,217,2654,8.176337603617181,19.74971056201463,286.6812608650586,6.889083193795095
Gracia,144,337,42.72997032640949,428,1288,33.22981366459628,35.07025186096952,108.13260029331913,32.43263526988013
Horta_Guinardo,118,444,26.576576576576578,364,2233,16.30094043887147,35.571865102004146,228.96481789601998,15.535952391671994
Nou_Barris,42,336,12.5,120,1603,7.485963817841547,11.016721991125632,162.43614420741625,6.782186344597219
Sant_Andreu,39,308,12.662337662337661,127,1543,8.230719377835385,14.211534973851249,142.16588776340268,9.996445137037774
Sant_Marti,44,342,12.865497076023392,198,2505,7.904191616766468,24.35693909430237,242.12624872171415,10.059602881923315
