districts,mapped streets,total streets,percentage street,mapped segments ,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,201,3492,5.756013745704467,576,19310,2.9829104091144485,53.19489801946325,1873.8301855182842,2.8388323782258866
Ciutat_Vella,10,517,1.9342359767891684,16,1447,1.10573600552868,1.5706835175050322,109.24794119097878,1.4377236773362028
Eixample,27,140,19.28571428571429,160,2159,7.410838351088467,16.20893378524736,207.55438362316366,7.809487567690378
Sants_Montjuic,35,490,7.142857142857142,114,2907,3.9215686274509802,10.925150418807931,284.6973812855034,3.8374608046892607
Les_Corts,9,231,3.896103896103896,28,1227,2.28198859005705,2.7392948689861667,117.14190588320041,2.3384414384698986
Sarria_Sant_Gervasi,43,548,7.846715328467154,119,2654,4.483798040693293,10.248006690380413,286.6812608650586,3.5747040666198853
Gracia,71,337,21.068249258160236,166,1288,12.888198757763975,13.662426412807834,108.13260029331913,12.634881965057076
Horta_Guinardo,72,444,16.216216216216218,184,2233,8.240035826242723,18.2737084980652,228.96481789601998,7.981011522199824
Nou_Barris,8,336,2.380952380952381,21,1603,1.3100436681222707,1.672598934924733,162.43614420741625,1.029696280397407
Sant_Andreu,9,308,2.922077922077922,32,1543,2.0738820479585223,2.4060914679771757,142.16588776340268,1.6924534470473502
Sant_Marti,5,342,1.461988304093567,20,2505,0.7984031936127743,1.6662231168566912,242.12624872171415,0.688162942123533
