districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1448,3492,41.46620847651776,6065,19310,31.40859658208182,575.627322801992,1873.8301855182842,30.719289680071988
Ciutat_Vella,164,517,31.721470019342355,340,1447,23.49689011748445,30.633678666238158,109.24794119097878,28.040508894063947
Eixample,109,140,77.85714285714286,1303,2159,60.352014821676704,129.43113720501944,207.55438362316366,62.36010772001568
Sants_Montjuic,136,490,27.755102040816325,432,2907,14.860681114551083,38.04458867928248,284.6973812855034,13.363167763433054
Les_Corts,82,231,35.4978354978355,295,1227,24.04237978810106,30.92617807088254,117.14190588320041,26.400610300568562
Sarria_Sant_Gervasi,246,548,44.89051094890511,824,2654,31.047475508666167,73.9393960706792,286.6812608650586,25.791499537698282
Gracia,287,337,85.16320474777447,1030,1288,79.96894409937887,85.3094869586592,108.13260029331913,78.89340192250049
Horta_Guinardo,293,444,65.990990990991,1022,2233,45.76802507836991,100.43464820229566,228.96481789601998,43.864664067256896
Nou_Barris,102,336,30.357142857142854,340,1603,21.210230817217717,32.883387248348185,162.43614420741625,20.243885625824188
Sant_Andreu,114,308,37.01298701298701,434,1543,28.12702527543746,42.64622774808445,142.16588776340268,29.997510949362027
Sant_Marti,122,342,35.67251461988304,617,2505,24.630738522954093,63.35552684215052,242.12624872171415,26.166319090404645
