districts,mapped streets,total streets,percentage street,mapped segments,total segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1046,3492,29.95418098510882,4120,19310,21.336095287415844,392.545658808512,1873.8301855182842,20.948838472251285
Ciutat_Vella,148,517,28.62669245647969,301,1447,20.801658604008296,27.559555842262114,109.24794119097878,25.22661346458203
Eixample,102,140,72.85714285714285,1017,2159,47.10514126910606,101.29858624326519,207.55438362316366,48.80580427883576
Sants_Montjuic,97,490,19.79591836734694,287,2907,9.872721018231854,25.868391661961613,284.6973812855034,9.086276644048223
Les_Corts,23,231,9.956709956709958,85,1227,6.927465362673186,9.65108326293436,117.14190588320041,8.238796517923518
Sarria_Sant_Gervasi,122,548,22.26277372262774,354,2654,13.33835719668425,33.7302953786697,286.6812608650586,11.765783112885991
Gracia,256,337,75.96439169139467,899,1288,69.79813664596274,74.59732339938947,108.13260029331913,68.98689497620302
Horta_Guinardo,242,444,54.5045045045045,836,2233,37.4384236453202,82.3453950683948,228.96481789601998,35.96421311582917
Nou_Barris,60,336,17.857142857142858,211,1603,13.162819713038054,18.332641853906686,162.43614420741625,11.286060712262143
Sant_Andreu,86,308,27.92207792207792,295,1543,19.118600129617626,27.95878980052233,142.16588776340268,19.666313938159554
Sant_Marti,96,342,28.07017543859649,412,2505,16.44710578842315,44.547324432789146,242.12624872171415,18.398387067892525
